name	unit	description
dx	m	lateral discretizaton
kf	m/s	hydraulic conductivity
ne	-	effective porosity
hBed	m	river bottom elevation
widthBed	m	width of river (rectangular x-section)
kfBed	m/s	hydraulic conductivity of river bottom layer
thickBed	m	thickness of river bottom layer
leaky	-	1 for leaky and 0 for normal cells
